epoch,loss
1.00,9.56E-01
2.00,9.39E-01
3.00,9.15E-01
4.00,8.74E-01
5.00,7.99E-01
6.00,6.85E-01
7.00,5.62E-01
8.00,4.55E-01
9.00,3.84E-01
10.00,3.11E-01
11.00,3.04E-01
12.00,2.90E-01
13.00,2.56E-01
14.00,2.42E-01
15.00,2.25E-01
16.00,2.31E-01
17.00,2.21E-01
18.00,2.07E-01
19.00,2.10E-01
20.00,2.07E-01
21.00,2.05E-01
22.00,1.96E-01
23.00,1.99E-01
24.00,2.00E-01
25.00,1.92E-01
26.00,1.88E-01
27.00,1.93E-01
28.00,1.92E-01
29.00,1.75E-01
30.00,2.11E-01
31.00,1.72E-01
32.00,1.83E-01
33.00,1.67E-01
34.00,1.84E-01
35.00,1.72E-01
36.00,1.64E-01
37.00,1.71E-01
38.00,1.60E-01
39.00,1.51E-01
40.00,1.55E-01
41.00,1.69E-01
42.00,1.56E-01
43.00,1.44E-01
44.00,1.50E-01
45.00,1.58E-01
46.00,1.64E-01
47.00,1.52E-01
48.00,1.67E-01
49.00,1.60E-01
50.00,1.40E-01
51.00,1.54E-01
52.00,1.57E-01
53.00,1.42E-01
54.00,1.37E-01
55.00,1.52E-01
56.00,1.35E-01
57.00,1.42E-01
58.00,1.48E-01
59.00,1.52E-01
60.00,1.44E-01
61.00,1.41E-01
62.00,1.36E-01
63.00,1.46E-01
64.00,1.39E-01
65.00,1.44E-01
66.00,1.43E-01
67.00,1.43E-01
68.00,1.44E-01
69.00,1.49E-01
70.00,1.40E-01
71.00,1.45E-01
72.00,1.46E-01
73.00,1.40E-01
74.00,1.35E-01
75.00,1.45E-01
76.00,1.35E-01
77.00,1.43E-01
78.00,1.46E-01
79.00,1.47E-01
80.00,1.47E-01
81.00,1.40E-01
82.00,1.35E-01
83.00,1.36E-01
84.00,1.35E-01
85.00,1.35E-01
86.00,1.27E-01
87.00,1.29E-01
88.00,1.34E-01
89.00,1.45E-01
90.00,1.28E-01
91.00,1.25E-01
92.00,1.38E-01
93.00,1.28E-01
94.00,1.43E-01
95.00,1.28E-01
96.00,1.25E-01
97.00,1.26E-01
98.00,1.32E-01
99.00,1.41E-01
100.00,1.29E-01
101.00,1.32E-01
102.00,1.31E-01
103.00,1.30E-01
104.00,1.34E-01
105.00,1.20E-01
106.00,1.30E-01
107.00,1.38E-01
108.00,1.27E-01
109.00,1.37E-01
110.00,1.36E-01
111.00,1.31E-01
112.00,1.38E-01
113.00,1.33E-01
114.00,1.31E-01
115.00,1.43E-01
116.00,1.27E-01
117.00,1.33E-01
118.00,1.21E-01
119.00,1.24E-01
120.00,1.34E-01
121.00,1.32E-01
122.00,1.23E-01
123.00,1.20E-01
124.00,1.26E-01
125.00,1.26E-01
126.00,1.21E-01
127.00,1.23E-01
128.00,1.22E-01
129.00,1.22E-01
130.00,1.28E-01
131.00,1.21E-01
132.00,1.25E-01
133.00,1.22E-01
134.00,1.27E-01
135.00,1.30E-01
136.00,1.32E-01
137.00,1.28E-01
138.00,1.23E-01
139.00,1.19E-01
140.00,1.25E-01
141.00,1.34E-01
142.00,1.28E-01
143.00,1.37E-01
144.00,1.29E-01
145.00,1.20E-01
146.00,1.19E-01
147.00,1.30E-01
148.00,1.15E-01
149.00,1.22E-01
150.00,1.16E-01
